ville,lat,lon
Vall de Bianya,42.2618507,2.4595471
Vilanova de Prades,41.347873,0.9556409
Bausen,42.8347879,0.7163801
Sant Mateu de Bages,41.7969781,1.7327386
Àger,42.0000879,0.7632247
Boadella i les Escaules,42.3324603,2.8583208
Bisbal de Montsant,41.2798965,0.7207895
Isòvol,42.3781028,1.8175789
Riumors,42.2269331,3.0420591
Mas de Barberans,40.7345687,0.3727136
Roquetes,40.8203657,0.5019225
Muntanyola,41.8769342,2.1790836
Piles,38.9407693,-0.1325845
Camprodon,42.3127896,2.364926
Torre de Fontaubella,41.1245958,0.8629874
Porrera,41.1889652,0.8545842
Bordils,42.0440682,2.9116018
Viladamat,42.1327669,3.0753648
Vilanova de Segrià,41.7121134,0.6169172
Llançà,42.3646215,3.1581373
Argençola,41.5977099,1.4433782
Albi,41.4234389,0.9384768
Ginestar,41.0432752,0.6341209
Canejan,42.8382496,0.7399836
Riudecols,41.1680845,0.9731174
Sant Martí Vell,42.0196093,2.9311901
Sant Joan de Vilatorrada,41.7422073,1.803625
Olesa de Bonesvalls,41.3505032,1.8492996
Miralcamp,41.6049685,0.8801705
Masnou,42.2355446,2.2631993
Selva del Camp,41.2145609,1.1377856
Vallmoll,41.2426301,1.2473878
Santa Maria de Miralles,41.5004287,1.5282249
Granyena de les Garrigues,41.4329666,0.6491956
Biosca,41.8419229,1.3579097
Balenyà,41.8155343,2.2139849
Sant Pere de Riudebitlles,41.4535893,1.7017388
Castelló d'Empúries,42.2591074,3.0746425
Guingueta d'Àneu,42.5945266,1.1313477
Santa Margarida de Montbui,41.5745942,1.6084538
Llardecans,41.3742018,0.5509848
Deltebre,40.7203938,0.7243445
Seva,41.8361292,2.2835441
Esterri d'Àneu,42.6274685,1.1228821
Godall,40.6553486,0.4678696
Llimiana,42.0750605,0.91585
Artesa de Segre,41.8962914,1.0471121
Darnius,42.3665352,2.8337409
Cervià de les Garrigues,41.425096,0.8603483
Sant Pau de Segúries,42.2633408,2.366055
Sant Martí de Llémena,42.0364324,2.6475329
Montblanc,41.3762309,1.1605628
Torelló,42.0478304,2.2643391
Sant Hilari Sacalm,41.8780822,2.5131751
Ossó de Sió,41.7548359,1.1592516
Sora,42.1119353,2.1610531
Botarell,41.1362847,0.9897786
Amer,42.0092186,2.6030327
Copons,41.6363657,1.5179333
Balaguer,41.7897204,0.8054914
Banyeres del Penedès,41.2791532,1.5798249
Sant Cebrià de Vallalta,41.620353,2.6017906
Aldea,43.2678939,-8.3340205
Tremp,42.1669782,0.8950137
Vespella de Gaià,41.2040993,1.3584332
Portella,41.7388399,0.6395895
Talavera,41.5817985,1.33826
Sant Jaume de Llierca,42.2119833,2.6074259
Vilamalla,42.2165982,2.9708293
Sant Llorenç de la Muga,42.3199618,2.7888647
Sarroca de Lleida,41.4594249,0.5610144
Sant Cugat Sesgarrigues,41.3644619,1.7530702
Teià,41.4994081,2.3205426
Torroja del Priorat,41.2133186,0.809102
Sils,41.8098347,2.743055
Sant Quirze Safaja,41.7276804,2.1548204
Pobla de Claramunt,41.5518879,1.6855579
Espluga de Francolí,41.3965477,1.1008109
Anglesola,41.6581289,1.0834165
Sant Feliu de Llobregat,41.3812851,2.0446381
Palau-solità i Plegamans,41.5873942,2.1806823
Abrera,41.5204464,1.9024126
Baix Pallars,42.3386268,1.0139824
Gelida,41.4408877,1.8634309
Golmés,41.6331288,0.9321508
Palau-sator,41.9897891,3.1103856
Castellolí,41.5981563,1.7002468
Preixana,41.6069897,1.0386967
Secuita,41.2040962,1.2786585
Cellera de Ter,41.9686921,2.6205193
Vinyols i els Arcs,41.1139986,1.0387245
Montornès del Vallès,41.542545,2.2670557
Puig-reig,41.9735499,1.8775308
Maçanet de la Selva,41.7774422,2.7309252
Palafolls,41.6673913,2.7499262
Cervera,41.6730667,1.2729426
Maldà,41.5505618,1.0396632
Sant Llorenç d'Hortons,41.4679645,1.824028
Peralada,42.3085047,3.0089916
Arnes,40.9110193,0.2610217
Torregrossa,41.5805089,0.8317131
Torre-serona,41.672925,0.6310212
Montclar,42.018173,1.7653302
Rodonyà,41.2826844,1.3975649
Vallcebre,42.2036044,1.818818
Esparreguera,41.5393249,1.8694549
Savallà del Comtat,41.5428139,1.2982819
Masllorenç,41.270168,1.4129842
Urús,42.3520412,1.8534065
Canet de Mar,41.5900933,2.5777998
Gurb,41.9409869,2.2433019
Miravet,41.037788,0.5977162
Llorenç del Penedès,41.2831394,1.5518432
Montmaneu,41.6259778,1.4147627
Mont-roig del Camp,41.0846728,0.9597946
Bellpuig,41.6254383,1.0117111
Peramola,42.0577991,1.2678488
Pobla de Montornès,41.1784822,1.4126999
Figueres,42.2666314,2.9638434
Espinelves,41.8689558,2.4173566
Artesa de Lleida,41.552805,0.7034622
Molsosa,41.7857191,1.5443377
Albiol,41.2518657,1.088292
Santa Coloma de Cervelló,41.3687006,2.0174512
Almatret,41.304597,0.4237735
Estany,41.8701712,2.1133532
Cabrera de Mar,41.5276986,2.3925117
Vilanova d'Escornalbou,41.1129833,0.9351724
Coma i la Pedra,42.1744986,1.5817024
Sant Feliu Sasserra,41.9447451,2.0213124
Menàrguens,41.7300771,0.7438658
Solsona,41.9945762,1.5184038
Sant Feliu de Buixalleu,41.7913017,2.5861463
Montgai,41.7999989,0.961434
Tavèrnoles,41.9520757,2.3263016
Molins de Rei,41.4138087,2.0159626
Palafrugell,41.9183618,3.1619905
